Year,Annual CO2 emissions by Fossil Fuels
1880,853916350
1881,883544060
1882,933360100
1883,992753600
1884,1004134100
1885,1011637100
1886,1027417500
1887,1078746900
1888,1194352600
1889,1194624000
1890,1300362400
1891,1361750100
1892,1372396500
1893,1355477200
1894,1403019100
1895,1487432300
1896,1536365600
1897,1609231600
1898,1697166300
1899,1853709200
1900,1952209500
1901,2016744400
1902,2067683800
1903,2254100200
1904,2279747300
1905,2427318300
1906,2534733000
1907,2888318000
1908,2776440800
1909,2890495000
1910,3034089700
1911,3079502000
1912,3235963600
1913,3506275800
1914,3180355600
1915,3134854000
1916,3385858300
1917,3540426800
1918,3493264100
1919,3029006600
1920,3521427500
1921,3090096600
1922,3240313900
1923,3676233200
1924,3687220200
1925,3727033600
1926,3661030400
1927,3996128800
1928,3978763300
1929,4270907600
1930,3938598400
1931,3519903200
1932,3173476400
1933,3341518300
1934,3634241800
1935,3814798300
1936,4185513700
1937,4474233000
1938,4206901000
1939,4451247000
1940,4861346000
1941,4970814500
1942,4959586000
1943,5041694000
1944,5117908500
1945,4257136000
1946,4646123500
1947,5145782000
1948,5424953000
1949,5181006000
1950,5929342000
1951,6381405700
1952,6467437000
1953,6650861600
1954,6789497300
1955,7443861000
1956,7925980700
1957,8185614000
1958,8417160000
1959,8854662000
1960,9386421000
1961,9414383000
1962,9746556000
1963,10266046000
1964,10823619000
1965,11309690000
1966,11861708000
1967,12236328000
1968,12904336000
1969,13760840000
1970,14898157000
1971,15502787000
1972,16223440000
1973,17083500000
1974,17009382000
1975,17049979000
1976,17985243000
1977,18494652000
1978,19063955000
1979,19603001000
1980,19482442000
1981,19016950000
1982,18865373000
1983,18985900000
1984,19641730000
1985,20305132000
1986,20607515000
1987,21245784000
1988,22077385000
1989,22378970000
1990,22752700000
1991,23229475000
1992,22567199000
1993,22798350000
1994,23034776000
1995,23524491000
1996,24250161000
1997,24395952000
1998,24330945000
1999,24833495000
2000,25501286000
2001,25674930000
2002,26248288000
2003,27648650000
2004,28620194000
2005,29592103000
2006,30605767000
2007,31499735000
2008,32041902000
2009,31493265000
2010,33306330000
2011,34436470000
2012,34935450000
2013,35232470000
2014,35466195000
2015,35463213000
2016,35460026000
2017,36025455000
2018,36766945000
2019,37040103000
2020,35007738000
2021,36816544000
2022,37149786000